시도,합계,과로,과속,앞지르기방법위반,앞지르기금지위반,중앙선침범,신호위반,안전거리미확보,일시정지위반,부당한회전,우선권양보불이행,진로양보불이행,안전운전의무불이행,교차로운행방법위반,보행자보호의무위반,차로위반(진로변경),직진우회전진행방해,철길건널목통과방법,긴급차피양의무위반,기타,정비불량
합계,"217,148",3,950,103,310,"9,559","24,725","20,453",500,"1,490",21,50,"121,797","14,064","7,819","4,239","6,265",4,1,"4,786",9
서울,"38,795",1,82,14,7,"1,124","4,398","5,048",33,248,6,9,"22,131","1,177","1,514",856,708,-,-,"1,439",-
부산,"11,937",-,54,5,8,433,"1,527","1,256",54,55,-,2,"6,248",845,593,360,213,-,-,284,-
대구,"13,199",-,50,4,2,293,"1,150","1,783",25,141,-,-,"7,262",973,463,356,313,-,-,384,-
인천,"7,632",-,34,5,1,281,"1,017",519,5,20,1,-,"4,696",338,334,199,25,-,-,156,1
광주,"7,459",1,18,1,2,248,795,968,14,53,-,1,"4,049",633,201,221,120,-,-,132,2
대전,"7,554",-,28,2,5,236,"1,037",816,5,31,-,1,"4,284",532,296,53,77,-,-,151,-
울산,"3,992",-,23,1,3,262,459,405,5,28,-,-,"2,014",272,197,93,162,1,-,67,-
세종,795,-,5,-,1,40,134,14,-,5,-,-,532,11,21,1,16,-,-,15,-
경기,"53,448",-,210,24,71,"2,250","6,800","4,965",202,441,2,20,"29,461","3,961","1,606","1,115","1,032",-,-,"1,284",4
강원,"7,498",1,43,5,19,518,673,615,12,32,-,1,"4,225",565,286,94,311,-,-,97,1
충북,"9,618",-,55,8,25,514,"1,076",766,20,55,4,4,"5,254",896,262,163,394,-,-,121,1
충남,"8,807",-,64,3,19,624,920,503,9,61,6,-,"5,128",525,329,97,416,-,-,103,-
전북,"6,929",-,56,5,23,447,"1,084",410,3,110,-,3,"3,560",311,314,100,432,-,-,71,-
전남,"9,787",-,87,13,40,553,815,509,31,79,2,2,"5,650",883,250,157,610,-,-,106,-
경북,"13,966",-,69,6,37,840,"1,129",724,32,58,-,2,"8,672","1,024",396,173,658,3,-,143,-
경남,"11,493",-,49,6,41,711,"1,354",696,26,56,-,5,"6,598",727,530,109,414,-,-,171,-
제주,"4,239",-,23,1,6,185,357,456,24,17,-,-,"2,033",391,227,92,364,-,1,62,-
