시도,합계,과로,과속,앞지르기방법위반,앞지르기금지위반,중앙선침범,신호위반,안전거리미확보,일시정지위반,부당한회전,우선권양보불이행,진로양보불이행,안전운전의무불이행,교차로운행방법위반,보행자보호의무위반,차로위반(진로변경),직진우회전진행방해,철길건널목통과방법,긴급차피양의무위반,기타,정비불량
합계,"203,130",2,"1,550",131,382,"8,524","24,608","21,045",693,"1,484",10,49,"111,766","12,218","6,594","3,219","6,322",3,2,"6,067",11
서울,"33,913",-,142,23,9,921,"4,098","4,930",53,288,1,9,"18,827","1,089","1,080",542,681,-,1,"1,360",1
부산,"11,339",-,73,8,9,379,"1,485","1,267",80,57,-,-,"6,008",741,526,218,184,-,-,377,-
대구,"12,133",-,74,5,12,299,"1,088","1,597",29,128,-,4,"6,767",839,411,237,279,-,-,438,-
인천,"7,912",-,84,2,7,253,970,689,4,31,-,4,"4,909",345,270,137,38,-,-,252,1
광주,"7,543",-,27,4,5,270,876,"1,094",11,70,-,1,"3,901",589,165,237,176,-,-,144,-
대전,"7,027",-,59,1,6,217,"1,021",782,19,50,-,1,"3,918",402,243,57,127,-,-,182,1
울산,"3,801",-,25,1,2,195,469,408,8,20,-,-,"1,984",261,152,59,160,-,-,82,-
세종,788,-,11,1,5,25,134,49,-,5,1,1,462,22,35,10,12,1,-,25,-
경기,"53,332",1,348,35,81,"1,968","7,218","5,696",240,414,3,11,"29,038","3,736","1,474",816,"1,125",1,-,"1,470",5
강원,"6,605",-,61,6,22,494,703,621,17,35,-,2,"3,279",501,242,91,409,-,1,182,-
충북,"7,985",1,86,5,32,475,972,784,30,70,-,1,"4,139",575,191,121,402,-,-,187,-
충남,"8,423",-,119,4,27,564,964,536,10,59,-,2,"4,617",500,317,129,428,-,-,266,-
전북,"6,112",-,96,3,23,381,"1,043",334,15,76,2,2,"3,068",280,270,115,314,-,-,185,1
전남,"8,685",-,97,9,51,564,840,484,62,33,3,2,"4,924",647,203,127,546,-,-,190,-
경북,"12,100",-,112,6,39,706,"1,003",715,56,78,-,2,"7,339",742,344,184,585,1,-,299,1
경남,"11,059",-,93,12,36,614,"1,368",611,18,50,-,4,"6,389",717,466,99,384,-,-,290,1
제주,"4,373",-,43,6,16,199,356,448,41,20,-,3,"2,197",232,205,40,472,-,-,138,-
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
