시도,합계,과로,과속,앞지르기방법위반,앞지르기금지위반,중앙선침범,신호위반,안전거리미확보,일시정지위반,부당한회전,우선권양보불이행,진로양보불이행,안전운전의무불이행,교차로운행방법위반,보행자보호의무위반,차로위반(진로변경),직진우회전진행방해,철길건널목통과방법,긴급차피양의무위반,기타,정비불량
합계,"196,836",5,"1,215",96,312,"7,710","22,850","19,900",715,"1,441",5,43,"111,307","11,453","7,050","2,764","5,494",3,1,"5,672",15
서울,"33,698",1,119,17,12,750,"3,783","4,447",38,252,1,2,"19,833","1,081","1,218",422,533,1,1,"1,306",-
부산,"10,882",-,65,8,11,332,"1,340","1,269",80,73,-,2,"5,815",657,581,172,171,-,-,371,-
대구,"11,102",-,53,2,7,260,999,"1,368",41,108,-,-,"6,427",622,404,192,251,-,-,421,-
인천,"7,695",-,90,1,8,267,887,674,14,41,2,4,"4,824",319,233,165,32,-,-,224,-
광주,"7,122",-,25,2,9,230,743,929,7,78,1,1,"3,966",512,203,176,129,-,-,136,-
대전,"6,841",-,36,2,2,160,"1,001",751,22,48,-,1,"3,953",342,277,28,88,-,-,164,2
울산,"3,660",-,19,3,3,167,478,453,9,22,-,-,"1,882",191,156,51,145,-,-,100,-
세종,932,-,5,2,3,30,138,94,2,10,-,-,513,45,38,5,28,-,-,24,-
경기,"52,968",1,254,22,62,"1,983","7,025","5,724",251,430,-,8,"29,063","3,579","1,583",756,"1,054",-,-,"1,423",4
강원,"6,425",1,54,2,18,427,655,571,15,27,1,6,"3,363",466,281,108,327,-,-,157,-
충북,"7,644",-,59,7,19,375,870,730,15,71,-,5,"4,023",643,221,107,371,-,-,187,-
충남,"8,164",-,98,4,35,499,837,486,23,54,-,3,"4,755",485,309,121,335,-,-,217,1
전북,"5,681",1,69,3,13,371,868,292,21,70,-,3,"2,972",228,320,74,287,-,-,156,2
전남,"8,335",-,71,10,31,473,769,452,57,36,-,3,"4,908",638,173,109,507,-,-,169,-
경북,"11,037",-,84,2,42,670,936,608,76,47,-,1,"6,679",726,350,127,503,2,-,266,2
경남,"10,611",1,89,8,23,543,"1,211",636,11,50,-,1,"6,263",704,487,109,317,-,-,243,4
제주,"4,039",-,25,1,14,173,310,416,33,24,-,3,"2,068",215,216,42,416,-,-,108,-
