시도,승용,승합,화물,특수,계
서울," 2,753,293 "," 98,145 "," 325,455 "," 10,440 "," 3,187,333 "
부산," 1,248,572 "," 38,966 "," 186,215 "," 11,707 "," 1,485,460 "
대구," 1,031,153 "," 28,186 "," 156,015 "," 4,510 "," 1,219,864 "
인천," 1,450,184 "," 43,757 "," 196,235 "," 8,549 "," 1,698,725 "
광주," 592,232 "," 18,276 "," 92,571 "," 3,521 "," 706,600 "
대전," 591,843 "," 18,569 "," 86,077 "," 3,384 "," 699,873 "
울산," 496,132 "," 13,646 "," 71,479 "," 3,403 "," 584,660 "
세종," 168,539 "," 4,327 "," 16,912 ", 756 ," 190,534 "
경기," 5,238,313 "," 193,621 "," 838,168 "," 26,626 "," 6,296,728 "
강원," 644,987 "," 27,007 "," 162,807 "," 4,541 "," 839,342 "
충북," 708,829 "," 28,186 "," 161,779 "," 5,533 "," 904,327 "
충남," 919,118 "," 39,438 "," 227,483 "," 6,777 "," 1,192,816 "
전북," 742,428 "," 30,927 "," 189,763 "," 5,056 "," 968,174 "
전남," 899,233 "," 37,850 "," 248,576 "," 8,466 "," 1,194,125 "
경북," 1,134,215 "," 45,891 "," 322,286 "," 9,537 "," 1,511,929 "
경남," 1,504,212 "," 50,017 "," 294,337 "," 9,926 "," 1,858,492 "
제주," 571,785 "," 17,928 "," 85,144 "," 1,853 "," 676,710 "
총계," 20,695,068 "," 734,737 "," 3,661,302 "," 124,585 "," 25,215,692 "
,,,,,
,,,,,
