시도,승용,승합,화물,특수,계
서울," 2,532,002 "," 146,319 "," 346,993 "," 6,293 "," 3,031,607 "
부산," 983,151 "," 53,116 "," 190,323 "," 9,105 "," 1,235,695 "
대구," 886,749 "," 38,749 "," 162,866 "," 2,202 "," 1,090,566 "
인천," 1,059,163 "," 58,284 "," 176,161 "," 5,427 "," 1,299,035 "
광주," 486,113 "," 24,379 "," 89,102 "," 2,022 "," 601,616 "
대전," 513,670 "," 25,468 "," 85,524 "," 1,810 "," 626,472 "
울산," 426,049 "," 17,179 "," 69,596 "," 2,386 "," 515,210 "
세종," 64,993 "," 3,498 "," 12,302 ", 193 ," 80,986 "
경기," 3,817,760 "," 240,112 "," 728,449 "," 12,408 "," 4,798,729 "
강원," 502,950 "," 32,986 "," 143,394 "," 2,123 "," 681,453 "
충북," 533,138 "," 33,916 "," 145,911 "," 3,077 "," 716,042 "
충남," 694,897 "," 46,083 "," 203,174 "," 3,512 "," 947,666 "
전북," 606,764 "," 36,674 "," 177,746 "," 2,773 "," 823,957 "
전남," 599,993 "," 42,014 "," 221,610 "," 5,815 "," 869,432 "
경북," 924,456 "," 54,699 "," 296,336 "," 5,953 "," 1,281,444 "
경남," 1,191,269 "," 63,083 "," 277,851 "," 6,298 "," 1,538,501 "
제주," 316,885 "," 21,361 "," 71,378 ", 844 ," 410,468 "
총계," 16,140,002 "," 937,920 "," 3,398,716 "," 72,241 "," 20,548,879 "
,,,,,
,,,,,
