시도,승용,승합,화물,특수,계
서울," 2,722,462 "," 103,178 "," 327,888 "," 9,457 "," 3,162,985 "
부산," 1,209,858 "," 40,831 "," 186,024 "," 11,227 "," 1,447,940 "
대구," 1,027,683 "," 29,532 "," 156,555 "," 3,994 "," 1,217,764 "
인천," 1,427,756 "," 47,291 "," 194,101 "," 7,986 "," 1,677,134 "
광주," 580,208 "," 19,311 "," 91,675 "," 3,145 "," 694,339 "
대전," 579,341 "," 19,492 "," 85,231 "," 3,014 "," 687,078 "
울산," 490,151 "," 14,182 "," 70,810 "," 3,113 "," 578,256 "
세종," 158,299 "," 4,320 "," 16,646 ", 584 ," 179,849 "
경기," 5,065,423 "," 200,347 "," 818,406 "," 23,223 "," 6,107,399 "
강원," 626,090 "," 28,017 "," 159,839 "," 3,937 "," 817,883 "
충북," 686,422 "," 28,886 "," 158,262 "," 4,940 "," 878,510 "
충남," 892,775 "," 40,528 "," 223,145 "," 5,966 "," 1,162,414 "
전북," 730,315 "," 31,847 "," 187,043 "," 4,492 "," 953,697 "
전남," 846,392 "," 38,744 "," 245,809 "," 7,932 "," 1,138,877 "
경북," 1,113,628 "," 47,204 "," 318,227 "," 8,646 "," 1,487,705 "
경남," 1,458,409 "," 52,328 "," 292,460 "," 9,078 "," 1,812,275 "
제주," 536,787 "," 18,406 "," 81,393 "," 1,560 "," 638,146 "
총계," 20,151,999 "," 764,444 "," 3,613,514 "," 112,294 "," 24,642,251 "
,,,,,
,,,,,
