시도,승용,승합,화물,특수,계
서울," 2,459,054 "," 160,461 "," 351,578 "," 4,950 "," 2,976,043 "
부산," 929,428 "," 57,835 "," 187,324 "," 8,636 "," 1,183,223 "
대구," 821,459 "," 41,536 "," 160,608 "," 1,805 "," 1,025,408 "
인천," 861,999 "," 58,418 "," 165,326 "," 4,905 "," 1,090,648 "
광주," 446,914 "," 26,108 "," 86,094 "," 1,787 "," 560,903 "
대전," 488,714 "," 27,215 "," 84,077 "," 1,512 "," 601,518 "
울산," 392,503 "," 17,800 "," 66,874 "," 2,128 "," 479,305 "
세종," 37,381 "," 2,669 "," 10,491 ", 135 ," 50,676 "
경기," 3,514,197 "," 249,382 "," 693,825 "," 11,090 "," 4,468,494 "
강원," 466,685 "," 34,920 "," 136,289 "," 1,794 "," 639,688 "
충북," 488,834 "," 35,463 "," 138,343 "," 2,679 "," 665,319 "
충남," 630,929 "," 46,967 "," 192,896 "," 3,021 "," 873,813 "
전북," 556,053 "," 37,811 "," 171,208 "," 2,509 "," 767,581 "
전남," 527,274 "," 42,287 "," 210,409 "," 5,437 "," 785,407 "
경북," 851,335 "," 57,069 "," 281,046 "," 5,481 "," 1,194,931 "
경남," 1,140,414 "," 67,886 "," 266,952 "," 5,687 "," 1,480,939 "
제주," 230,751 "," 19,486 "," 65,524 ", 680 ," 316,441 "
총계," 14,843,924 "," 983,313 "," 3,268,864 "," 64,236 "," 19,160,337 "
