시도,승용,승합,화물,특수,계
서울," 2,650,174 "," 123,883 "," 338,568 "," 7,844 "," 3,120,469 "
부산," 1,106,028 "," 46,211 "," 190,727 "," 10,099 "," 1,353,065 "
대구," 969,993 "," 33,699 "," 162,825 "," 2,757 "," 1,169,274 "
인천," 1,293,528 "," 54,544 "," 189,309 "," 6,514 "," 1,543,895 "
광주," 541,410 "," 21,530 "," 91,401 "," 2,383 "," 656,724 "
대전," 552,669 "," 22,561 "," 87,073 "," 2,336 "," 664,639 "
울산," 465,494 "," 15,714 "," 71,592 "," 2,562 "," 555,362 "
세종," 120,801 "," 4,200 "," 15,201 ", 310 ," 140,512 "
경기," 4,478,360 "," 221,957 "," 785,267 "," 16,218 "," 5,501,802 "
강원," 570,446 "," 30,553 "," 153,308 "," 2,845 "," 757,152 "
충북," 610,664 "," 31,409 "," 155,730 "," 3,776 "," 801,579 "
충남," 811,695 "," 44,020 "," 218,105 "," 4,559 "," 1,078,379 "
전북," 681,885 "," 34,344 "," 185,487 "," 3,549 "," 905,265 "
전남," 730,461 "," 41,292 "," 236,675 "," 6,558 "," 1,014,986 "
경북," 1,036,407 "," 50,780 "," 313,785 "," 7,428 "," 1,408,400 "
경남," 1,328,798 "," 57,219 "," 290,466 "," 7,465 "," 1,683,948 "
제주," 425,271 "," 20,566 "," 79,525 "," 1,222 "," 526,584 "
총계," 18,374,084 "," 854,482 "," 3,565,044 "," 88,425 "," 22,882,035 "
,,,,,
,,,,,
