시도,합계,과로,과속,앞지르기방법위반,앞지르기금지위반,중앙선침범,신호위반,안전거리미확보,일시정지위반,부당한회전,우선권양보불이행,진로양보불이행,안전운전의무불이행,교차로운행방법위반,보행자보호의무위반,차로위반(진로변경),직진우회전진행방해,철길건널목통과방법,긴급차피양의무위반,기타,정비불량
합계,"220,917",5,663,93,328,"10,712","24,408","20,660",536,"1,373",18,38,"124,399","14,602","7,808","3,730","6,619",4,1,"4,908",12
서울,"40,039",-,72,11,14,"1,433","4,663","5,221",33,228,5,3,"22,643","1,287","1,448",823,717,-,-,"1,434",4
부산,"12,192",-,24,3,5,528,"1,461","1,400",65,66,-,2,"6,423",852,577,295,183,-,-,307,1
대구,"13,098",-,29,3,8,403,"1,124","1,646",5,139,-,2,"7,439",865,491,267,319,-,-,358,-
인천,"8,535",1,47,3,2,365,"1,204",566,3,38,-,-,"5,195",396,324,142,33,-,-,215,1
광주,"7,354",-,20,1,3,266,825,904,7,61,1,-,"3,868",710,243,214,120,-,-,110,1
대전,"7,535",-,22,1,2,269,972,758,2,36,-,-,"4,311",524,306,85,61,-,-,186,-
울산,"4,496",-,12,3,2,265,466,488,7,28,-,1,"2,310",384,201,99,146,-,-,84,-
세종,521,-,3,-,1,33,98,3,-,3,-,-,326,19,26,3,2,-,-,4,-
경기,"51,013",2,148,19,57,"2,261","6,349","4,827",284,348,3,12,"28,365","3,756","1,471",798,"1,070",1,-,"1,240",2
강원,"8,841",1,35,5,16,617,755,905,11,45,-,3,"4,712",729,324,176,385,-,-,122,-
충북,"9,392",1,33,9,12,511,"1,023",620,30,37,-,1,"5,343",891,256,126,379,-,-,120,-
충남,"8,962",-,56,9,35,684,845,398,2,48,6,3,"5,247",662,310,105,443,-,-,108,1
전북,"7,850",-,40,1,24,480,"1,045",551,5,118,-,1,"4,061",373,381,68,613,-,-,89,-
전남,"9,504",-,34,7,55,599,772,465,14,45,2,3,"5,557",786,235,123,670,2,-,133,2
경북,"14,629",-,38,2,53,984,"1,122",736,30,67,1,3,"9,010","1,197",426,186,585,1,-,188,-
경남,"12,522",-,24,12,30,791,"1,321",692,24,43,-,2,"7,470",832,543,145,430,-,1,162,-
제주,"4,434",-,26,4,9,223,363,480,14,23,-,2,"2,119",339,246,75,463,-,-,48,-
,,,,,,,,,,,,,,,,,,,,,
