시도,합계,과로,과속,앞지르기방법위반,앞지르기금지위반,중앙선침범,신호위반,안전거리미확보,일시정지위반,부당한회전,우선권양보불이행,진로양보불이행,안전운전의무불이행,교차로운행방법위반,보행자보호의무위반,차로위반(진로변경),직진우회전진행방해,철길건널목통과방법,긴급차피양의무위반,기타,정비불량
합계,"223,552",5,515,94,335,"12,092","25,702","20,678",542,"1,407",15,47,"126,329","14,341","7,231","3,172","5,995",2,2,"5,039",9
서울,"40,792",2,66,5,6,"1,536","5,008","5,498",25,262,1,6,"22,644","1,495","1,429",669,504,-,-,"1,634",2
부산,"12,693",-,27,3,5,628,"1,671","1,450",97,73,1,1,"6,613",858,508,231,174,-,-,353,-
대구,"14,519",-,16,2,-,481,"1,375","1,937",11,134,-,2,"8,227",915,453,218,307,-,-,441,-
인천,"8,846",-,28,1,5,437,"1,298",726,12,32,1,3,"5,160",437,308,135,44,-,-,219,-
광주,"8,194",-,12,4,6,351,945,"1,109",9,73,-,1,"4,200",806,228,212,120,-,-,118,-
대전,"5,899",-,10,-,3,294,887,569,2,22,-,-,"3,259",315,269,50,33,-,-,186,-
울산,"5,180",-,11,5,2,353,532,570,3,34,-,1,"2,697",454,204,72,149,-,-,93,-
세종,482,-,4,1,1,46,71,14,-,1,-,-,251,21,9,6,54,-,-,3,-
경기,"48,112",1,96,22,53,"2,566","6,435","3,918",138,315,4,13,"27,646","3,085","1,294",725,766,-,-,"1,034",1
강원,"8,605",-,19,10,18,610,813,722,47,66,-,1,"4,725",725,299,123,298,-,-,128,1
충북,"8,937",1,27,8,26,567,978,590,48,45,1,1,"5,174",748,223,89,288,2,-,120,1
충남,"8,360",-,47,13,36,693,848,299,14,58,2,2,"4,955",676,250,75,324,-,-,68,-
전북,"9,569",-,52,4,50,603,"1,199",710,18,119,-,1,"4,976",421,376,87,818,-,-,135,-
전남,"10,100",-,26,6,45,732,862,560,26,36,1,5,"5,855",776,241,135,687,-,-,107,-
경북,"15,346",-,32,2,42,"1,045","1,084",702,30,75,2,4,"9,840","1,137",391,190,598,-,1,169,2
경남,"13,434",1,26,8,29,928,"1,369",858,39,51,1,4,"7,711","1,177",496,126,432,-,-,177,1
제주,"4,484",-,16,-,8,222,327,446,23,11,1,2,"2,396",295,253,29,399,-,1,54,1
,,,,,,,,,,,,,,,,,,,,,
