시도,승용,승합,화물,특수,계
서울," 2,627,009 "," 130,959 "," 342,549 "," 7,418 "," 3,107,935 "
부산," 1,066,247 "," 48,137 "," 191,265 "," 9,889 "," 1,315,538 "
대구," 945,975 "," 35,047 "," 163,548 "," 2,601 "," 1,147,171 "
인천," 1,227,316 "," 55,769 "," 184,996 "," 6,239 "," 1,474,320 "
광주," 527,476 "," 22,283 "," 90,408 "," 2,247 "," 642,414 "
대전," 543,120 "," 23,199 "," 86,575 "," 2,086 "," 654,980 "
울산," 455,336 "," 16,187 "," 71,200 "," 2,566 "," 545,289 "
세종," 102,031 "," 3,997 "," 14,351 ", 252 ," 120,631 "
경기," 4,257,728 "," 227,690 "," 766,477 "," 14,947 "," 5,266,842 "
강원," 550,633 "," 31,052 "," 150,483 "," 2,585 "," 734,753 "
충북," 587,324 "," 32,052 "," 152,732 "," 3,559 "," 775,667 "
충남," 776,911 "," 44,543 "," 213,838 "," 4,281 "," 1,039,573 "
전북," 660,093 "," 35,008 "," 183,095 "," 3,283 "," 881,479 "
전남," 693,673 "," 42,221 "," 232,317 "," 6,390 "," 974,601 "
경북," 1,006,170 "," 51,854 "," 309,578 "," 6,970 "," 1,374,572 "
경남," 1,296,400 "," 59,138 "," 287,302 "," 7,095 "," 1,649,935 "
제주," 382,875 "," 20,908 "," 77,970 "," 1,112 "," 482,865 "
총계," 17,706,317 "," 880,044 "," 3,518,684 "," 83,520 "," 22,188,565 "
,,,,,
,,,,,
