시도,승용,승합,화물,특수,계
서울," 2,660,664 "," 117,705 "," 333,872 "," 8,091 "," 3,120,332 "
부산," 1,139,856 "," 44,592 "," 189,251 "," 10,388 "," 1,384,087 "
대구," 983,467 "," 32,425 "," 162,143 "," 2,920 "," 1,180,955 "
인천," 1,356,319 "," 53,002 "," 193,103 "," 6,974 "," 1,609,398 "
광주," 554,489 "," 20,793 "," 92,596 "," 2,634 "," 670,512 "
대전," 559,767 "," 21,622 "," 87,224 "," 2,426 "," 671,039 "
울산," 472,342 "," 15,248 "," 71,801 "," 2,715 "," 562,106 "
세종," 135,302 "," 4,356 "," 16,066 ", 358 ," 156,082 "
경기," 4,657,543 "," 215,254 "," 801,295 "," 17,527 "," 5,691,619 "
강원," 586,592 "," 29,667 "," 155,985 "," 3,096 "," 775,340 "
충북," 635,720 "," 30,827 "," 158,273 "," 4,042 "," 828,862 "
충남," 837,321 "," 43,023 "," 222,100 "," 4,762 "," 1,107,206 "
전북," 699,927 "," 33,783 "," 188,143 "," 3,721 "," 925,574 "
전남," 754,526 "," 40,552 "," 241,764 "," 6,841 "," 1,043,683 "
경북," 1,060,817 "," 49,733 "," 317,224 "," 7,684 "," 1,435,458 "
경남," 1,350,784 "," 55,897 "," 293,138 "," 7,732 "," 1,707,551 "
제주," 472,529 "," 20,102 "," 80,392 "," 1,338 "," 574,361 "
총계," 18,917,965 "," 828,581 "," 3,604,370 "," 93,249 "," 23,444,165 "
,,,,,
,,,,,
