시도,합계,과로,과속,앞지르기방법위반,앞지르기금지위반,중앙선침범,신호위반,안전거리미확보,일시정지위반,부당한회전,우선권양보불이행,진로양보불이행,안전운전의무불이행,교차로운행방법위반,보행자보호의무위반,차로위반(진로변경),직진우회전진행방해,철길건널목통과방법,긴급차피양의무위반,기타,정비불량
합계,"216,335",2,839,111,375,"10,184","24,358","20,053",491,"1,462",10,42,"121,322","14,229","7,516","3,913","6,607",3,2,"4,803",13
서울,"38,625",-,105,21,12,"1,259","4,363","4,911",43,231,1,3,"22,120","1,147","1,365",797,741,-,-,"1,506",-
부산,"11,753",-,38,11,5,463,"1,458","1,309",58,81,2,2,"6,110",805,550,344,189,-,-,328,-
대구,"12,970",-,41,-,7,364,"1,142","1,648",27,146,-,1,"7,284",892,436,276,322,-,-,384,-
인천,"7,719",1,39,3,2,305,"1,070",482,5,31,-,2,"4,824",355,249,152,37,-,-,162,-
광주,"7,499",-,29,5,10,281,834,932,9,48,1,1,"4,063",626,239,190,130,-,-,101,-
대전,"7,767",-,25,3,1,266,"1,088",770,2,42,-,-,"4,496",492,301,63,71,-,-,147,-
울산,"4,265",-,16,3,6,281,496,439,5,34,-,1,"2,105",326,186,118,176,-,-,73,-
세종,746,-,3,-,3,39,109,14,1,4,-,-,504,10,19,9,14,-,-,16,1
경기,"50,627",-,160,14,62,"2,285","6,331","4,799",227,400,1,15,"27,719","3,968","1,604",901,958,-,1,"1,177",5
강원,"8,316",1,36,3,23,617,750,680,13,34,-,-,"4,588",641,286,137,380,-,-,124,3
충북,"9,273",-,61,4,28,491,"1,067",622,17,48,-,1,"5,037",927,259,205,392,1,-,112,1
충남,"9,241",-,80,8,33,661,992,436,12,59,3,5,"5,406",519,317,95,523,1,1,89,1
전북,"7,748",-,53,4,43,503,"1,140",563,2,108,-,-,"3,872",348,351,95,577,-,-,89,-
전남,"9,770",-,46,12,40,610,744,507,13,62,-,9,"5,668",905,232,136,664,-,-,120,2
경북,"13,896",-,41,8,52,901,"1,089",735,21,55,-,-,"8,648","1,077",375,181,576,1,-,136,-
경남,"11,742",-,49,7,38,680,"1,347",747,12,57,2,2,"6,702",856,500,125,438,-,-,180,-
제주,"4,378",-,17,5,10,178,338,459,24,22,-,-,"2,176",335,247,89,419,-,-,59,-
