시도,합계,과로,과속,앞지르기방법위반,앞지르기금지위반,중앙선침범,신호위반,안전거리미확보,일시정지위반,부당한회전,우선권양보불이행,진로양보불이행,안전운전의무불이행,교차로운행방법위반,보행자보호의무위반,차로위반(진로변경),직진우회전진행방해,철길건널목통과방법,긴급차피양의무위반,기타,정비불량
합계,"229,600",1,"1,124",111,410,"9,344","27,921","22,473",581,"1,545",43,47,"126,006","15,372","8,055","4,220","7,242",6,3,"5,086",10
서울,"39,258",-,102,20,17,"1,074","4,898","5,259",43,267,4,7,"21,842","1,325","1,515",701,774,-,-,"1,409",1
부산,"12,992",-,37,13,8,410,"1,709","1,409",70,57,1,4,"6,788",944,636,376,205,-,1,323,1
대구,"14,536",-,77,10,7,298,"1,453","1,974",39,161,-,-,"7,953",993,423,349,404,-,1,394,-
인천,"8,698",-,41,2,7,262,"1,159",620,5,28,-,-,"5,378",473,329,160,41,-,-,193,-
광주,"8,169",-,23,1,6,262,928,"1,118",25,57,1,-,"4,224",751,212,283,137,-,-,141,-
대전,"8,337",-,22,2,7,247,"1,300",832,10,48,-,-,"4,624",581,302,58,111,-,-,193,-
울산,"4,347",-,19,1,3,223,599,435,9,18,-,-,"2,234",289,189,89,168,-,-,71,-
세종,922,-,3,-,4,36,154,52,1,3,-,-,587,17,26,1,20,-,-,18,-
경기,"55,463",-,278,26,84,"2,203","7,531","5,480",211,418,-,18,"29,837","4,194","1,648","1,040","1,160",2,-,"1,331",2
강원,"7,554",-,52,4,29,498,727,647,14,29,-,-,"4,040",639,343,88,352,1,-,90,1
충북,"9,538",-,50,5,29,444,"1,098",896,14,59,33,-,"5,064",820,244,169,497,-,-,115,1
충남,"9,404",-,79,6,31,636,"1,025",542,10,57,2,1,"5,365",541,362,146,496,-,-,104,1
전북,"7,615",-,81,2,30,409,"1,223",492,2,128,-,1,"3,722",366,394,143,517,-,-,105,-
전남,"10,877",1,92,7,67,649,895,649,28,54,-,8,"6,027","1,094",250,222,704,2,1,125,2
경북,"14,648",-,82,5,39,834,"1,255",720,36,67,1,2,"8,914","1,143",445,201,724,1,-,179,-
경남,"12,830",-,58,4,32,648,"1,537",819,30,67,1,4,"7,434",828,519,113,521,-,-,215,-
제주,"4,412",-,28,3,10,211,430,529,34,27,-,2,"1,973",374,218,81,411,-,-,80,1
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
