시도,합계,과로,과속,앞지르기방법위반,앞지르기금지위반,중앙선침범,신호위반,안전거리미확보,일시정지위반,부당한회전,우선권양보불이행,진로양보불이행,안전운전의무불이행,교차로운행방법위반,보행자보호의무위반,차로위반(진로변경),직진우회전진행방해,철길건널목통과방법,긴급차피양의무위반,기타,정비불량
합계,"215,354",2,427,69,335,"12,324","24,425","20,106",426,"1,435",14,47,"121,402","14,407","6,816","2,928","5,537",2,2,"4,636",14
서울,"39,439",-,62,6,3,"1,515","4,889","5,424",53,264,-,7,"21,856","1,681","1,174",555,391,-,-,"1,557",2
부산,"12,606",-,24,4,7,619,"1,522","1,472",73,85,-,1,"6,801",801,500,235,153,-,-,309,-
대구,"13,680",-,16,2,4,493,"1,193","1,855",7,146,1,1,"7,690",911,463,190,303,-,-,404,1
인천,"8,990",-,15,1,4,394,"1,188",782,8,42,1,3,"5,354",467,323,151,39,-,-,216,2
광주,"8,036",-,11,1,10,436,992,"1,141",9,80,1,3,"3,949",747,215,213,80,-,-,148,-
대전,"5,462",-,10,1,3,311,795,470,1,29,-,-,"3,124",231,233,55,36,-,-,163,-
울산,"5,022",-,6,2,5,361,522,504,3,30,-,-,"2,705",430,166,91,119,-,-,78,-
세종,445,-,2,-,3,38,59,7,-,-,-,-,281,20,7,3,21,-,-,4,-
경기,"43,900",1,65,18,67,"2,560","6,203","3,400",105,272,6,11,"25,091","2,742","1,242",634,611,-,2,866,4
강원,"8,529",-,20,3,24,671,716,869,41,71,1,2,"4,493",839,295,107,267,-,-,110,-
충북,"8,501",-,19,3,35,548,911,595,20,61,-,-,"4,837",705,234,87,316,-,-,129,1
충남,"7,899",-,38,4,43,741,816,330,11,64,-,3,"4,436",632,230,86,394,-,-,69,2
전북,"9,448",-,51,5,26,649,"1,116",764,9,145,1,-,"4,816",501,361,88,817,-,-,98,1
전남,"10,077",1,29,7,33,757,811,502,30,38,-,6,"5,980",785,214,139,641,-,-,104,-
경북,"15,269",-,20,9,39,"1,098","1,078",692,20,55,1,3,"9,794","1,181",400,134,574,2,-,169,-
경남,"13,749",-,25,1,23,923,"1,294",894,16,46,2,4,"7,940","1,344",487,148,436,-,-,165,1
제주,"4,302",-,14,2,6,210,320,405,20,7,-,3,"2,255",390,272,12,339,-,-,47,-
,,,,,,,,,,,,,,,,,,,,,
