시도,합계,과로,과속,앞지르기방법위반,앞지르기금지위반,중앙선침범,신호위반,안전거리미확보,일시정지위반,부당한회전,우선권양보불이행,진로양보불이행,안전운전의무불이행,교차로운행방법위반,보행자보호의무위반,차로위반(진로변경),직진우회전진행방해,철길건널목통과방법,긴급차피양의무위반,기타,정비불량
합계,"209,654",1,"1,241",129,345,"8,364","24,512","21,469",625,"1,439",9,53,"116,272","14,079","6,166","3,841","6,385",3,1,"4,709",11
서울,"35,227",-,102,16,5,953,"4,103","5,110",29,246,-,8,"19,537","1,322","1,178",648,701,-,-,"1,267",2
부산,"11,913",-,68,10,10,358,"1,457","1,324",72,82,1,3,"6,438",822,487,276,192,-,-,313,-
대구,"12,940",-,56,7,5,284,"1,245","1,706",36,138,2,-,"7,156",918,320,363,297,-,-,405,2
인천,"8,505",-,50,1,5,213,"1,017",818,6,20,1,4,"5,258",429,263,179,34,-,-,207,-
광주,"7,718",-,35,1,6,251,876,994,21,72,-,2,"4,067",687,171,299,127,-,-,109,-
대전,"7,215",-,49,1,3,213,"1,028",787,22,50,-,-,"4,016",474,240,48,137,-,-,147,-
울산,"3,834",-,27,4,2,200,473,374,13,15,-,1,"2,022",272,119,86,162,1,-,63,-
세종,813,-,3,1,1,25,142,70,-,3,-,-,509,19,23,1,5,-,-,11,-
경기,"52,391",-,290,29,67,"2,041","6,825","5,646",228,393,-,11,"28,297","4,151","1,263",897,"1,109",-,1,"1,138",5
강원,"7,039",1,53,7,26,441,696,539,19,28,-,3,"3,897",536,262,99,321,-,-,111,-
충북,"8,398",-,68,5,29,422,983,713,20,50,3,2,"4,493",725,183,136,428,-,-,138,-
충남,"8,952",-,91,12,32,558,"1,005",545,11,47,2,7,"5,099",574,266,156,414,-,-,133,-
전북,"6,451",-,69,5,21,341,975,385,17,111,-,-,"3,330",326,274,117,391,-,-,89,-
전남,"9,816",-,83,7,47,540,826,570,40,59,-,5,"5,672",869,175,216,591,-,-,115,1
경북,"12,673",-,88,12,28,723,"1,089",701,42,61,-,4,"7,692",917,343,156,619,2,-,196,-
경남,"11,739",-,71,8,45,625,"1,439",715,26,39,-,2,"6,853",763,418,103,444,-,-,187,1
제주,"4,030",-,38,3,13,176,333,472,23,25,-,1,"1,936",275,181,61,413,-,-,80,-
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
