시도,승용,승합,화물,특수,계
서울," 2,587,394 "," 138,491 "," 346,071 "," 7,085 "," 3,079,041 "
부산," 1,029,029 "," 50,628 "," 191,979 "," 9,710 "," 1,281,346 "
대구," 918,048 "," 36,723 "," 164,075 "," 2,439 "," 1,121,285 "
인천," 1,157,966 "," 57,317 "," 181,053 "," 5,720 "," 1,402,056 "
광주," 506,418 "," 23,323 "," 89,841 "," 2,101 "," 621,683 "
대전," 529,164 "," 24,291 "," 86,424 "," 1,967 "," 641,846 "
울산," 444,424 "," 16,573 "," 71,016 "," 2,509 "," 534,522 "
세종," 85,832 "," 3,792 "," 13,477 ", 223 ," 103,324 "
경기," 4,047,478 "," 233,071 "," 751,012 "," 13,399 "," 5,044,960 "
강원," 528,917 "," 31,924 "," 147,474 "," 2,322 "," 710,637 "
충북," 561,636 "," 32,889 "," 149,805 "," 3,347 "," 747,677 "
충남," 737,483 "," 45,212 "," 209,414 "," 3,845 "," 995,954 "
전북," 636,489 "," 35,840 "," 181,238 "," 3,051 "," 856,618 "
전남," 652,007 "," 42,111 "," 228,403 "," 6,062 "," 928,583 "
경북," 972,324 "," 53,308 "," 305,434 "," 6,606 "," 1,337,672 "
경남," 1,251,724 "," 60,935 "," 283,865 "," 6,718 "," 1,603,242 "
제주," 355,910 "," 21,627 "," 75,292 ", 949 ," 453,778 "
총계," 17,002,243 "," 908,055 "," 3,475,873 "," 78,053 "," 21,464,224 "
,,,,,
,,,,,
