시도,승용,승합,화물,특수,계
서울," 2,691,874 "," 110,589 "," 330,618 "," 8,629 "," 3,141,710 "
부산," 1,170,655 "," 42,943 "," 187,062 "," 10,666 "," 1,411,326 "
대구," 1,007,081 "," 31,116 "," 159,208 "," 3,257 "," 1,200,662 "
인천," 1,415,718 "," 50,927 "," 191,526 "," 7,326 "," 1,665,497 "
광주," 570,487 "," 20,177 "," 92,079 "," 2,812 "," 685,555 "
대전," 571,699 "," 20,660 "," 86,283 "," 2,624 "," 681,266 "
울산," 482,179 "," 14,807 "," 71,428 "," 2,893 "," 571,307 "
세종," 146,487 "," 4,363 "," 16,366 ", 407 ," 167,623 "
경기," 4,852,875 "," 207,704 "," 805,313 "," 19,173 "," 5,885,065 "
강원," 606,003 "," 29,000 "," 157,589 "," 3,362 "," 795,954 "
충북," 660,953 "," 29,987 "," 158,547 "," 4,283 "," 853,770 "
충남," 864,246 "," 41,988 "," 223,461 "," 5,078 "," 1,134,773 "
전북," 715,742 "," 32,867 "," 186,394 "," 4,030 "," 939,033 "
전남," 782,719 "," 39,587 "," 244,631 "," 7,275 "," 1,074,212 "
경북," 1,084,359 "," 48,691 "," 318,913 "," 8,298 "," 1,460,261 "
경남," 1,393,312 "," 54,413 "," 292,708 "," 8,257 "," 1,748,690 "
제주," 505,487 "," 19,135 "," 80,376 "," 1,381 "," 606,379 "
총계," 19,521,876 "," 798,954 "," 3,602,502 "," 99,751 "," 24,023,083 "
,,,,,
,,,,,
